track_id, type, traveled_d, avg_speed, lat, lon, speed, lon_acc, lat_acc, time
1, Car,7.42,44.545908,37.979512,23.733515,48.0517,-4.5026,-1.9331,0
2, Car,16.23,41.728189,37.979441,23.733581,42.6205,-0.0145,0.2673,0
3, Car,18.97,37.939984,37.979441,23.733657,38.5098,-0.0088,0.1863,0
4, Bus,29.28,26.35202,37.97942,23.73373,24.9054,-0.0296,-0.0261,0
5, Medium Vehicle,37.85,40.074858,37.979293,23.733788,38.7187,-0.062,-0.0132,0
6, Car,45.96,48.668668,37.979221,23.733811,48.6166,-0.0066,-0.0354,0
7, Motorcycle,47.67,42.900441,37.979242,23.73385,41.9433,-0.0034,0.0582,0
8, Car,54.81,39.463166,37.979184,23.733882,36.168,-0.0474,0.0019,0
9, Bus,54.19,21.676219,37.979231,23.733899,25.9868,0.036,0.0498,0
10, Car,61.83,38.380087,37.979116,23.733942,37.7399,0.011,0.0592,0
11, Car,71.69,46.084924,37.979027,23.733934,41.7356,-0.0551,-0.038,0
12, Heavy Vehicle,70.79,50.967757,37.979053,23.733962,47.0955,-0.087,0.3915,0
13, Car,90.68,10.201119,37.978947,23.734168,26.5552,0.0601,0.0031,0
14, Motorcycle,81.83,50.790619,37.97896,23.734006,52.5912,0.0307,0.132,0
15, Car,97.81,40.945159,37.978842,23.734168,41.7004,-0.0247,-0.0917,0
16, Car,98.04,36.76594,37.978859,23.734198,35.3931,-0.0069,-0.0115,0
17, Motorcycle,105.89,52.94429,37.978777,23.734175,49.3832,-0.0391,-0.1549,0
18, Motorcycle,107.36,52.229569,37.978791,23.734223,40.5382,-0.0233,-0.225,0
19, Car,112.88,36.283172,37.978739,23.734245,33.0552,-0.0297,0.0606,0
20, Car,120.34,50.373333,37.97867,23.734268,49.9103,-0.0555,-0.0077,0
21, Motorcycle,132.32,59.544692,37.978563,23.734319,49.8239,-0.0673,0.1441,0
22, Motorcycle,130.43,48.910013,37.978605,23.734343,44.206,-0.0185,-0.0449,0
23, Heavy Vehicle,132.98,32.346837,37.978613,23.734419,25.1777,-0.0512,0.1556,0
24, Car,142.9,39.572727,37.97852,23.734442,37.0331,-0.0195,-0.0357,0
25, Car,146.9,40.679225,37.978478,23.734433,33.7413,-0.0077,0.1416,0
26, Car,153.44,31.386273,37.978447,23.734544,21.8211,-0.0318,0.0554,0
27, Motorcycle,159.42,52.172192,37.978373,23.734485,41.6796,0.2347,-0.0039,0
28, Motorcycle,143.04,58.515151,37.978485,23.734389,57.273,0.0279,0.2457,0
29, Car,169.38,42.345575,37.978322,23.734605,37.7555,-0.0546,0.0024,0
30, Car,171.79,43.552328,37.97827,23.73459,32.6364,0.0163,0.0819,0
31, Car,188.35,40.846533,37.978175,23.734725,34.884,-0.0057,-0.0095,0
32, Car,200.42,40.533727,37.978076,23.734812,33.1267,-0.0205,0.0219,0
33, Motorcycle,219.7,53.439833,37.977921,23.734907,50.6362,-0.0846,0.2795,0
34, Car,221.91,37.68292,37.97793,23.734933,33.3832,0.0218,-0.0293,0
35, Car,221.71,35.007002,37.977943,23.734967,35.6266,-0.0109,-0.1375,0
36, Car,228.06,35.38793,37.977857,23.734945,29.9887,-0.016,-0.05,0
37, Car,235.11,34.129236,37.977833,23.735025,35.8065,0.0266,0.0252,0
38, Motorcycle,246,55.350949,37.977739,23.735095,42.8076,-0.0208,-0.223,0
39, Car,247.41,39.762783,37.977722,23.735074,29.3227,-0.0455,0.0459,0
40, Motorcycle,257.61,57.246799,37.977651,23.735176,49.9793,-0.0159,-0.0791,0
41, Car,258.7,36.957062,37.977641,23.735139,27.3407,-0.0079,-0.0084,0
42, Motorcycle,266.24,44.788564,37.977586,23.73518,28.8154,-0.036,-0.2074,0
43, Car,267.59,35.416795,37.9776,23.735253,34.4541,-0.0147,-0.1125,0
44, Motorcycle,275.69,49.133702,37.977513,23.735233,42.3547,0.0009,-0.2073,0
45, Car,275.87,40.702607,37.977529,23.735282,40.1908,-0.0123,-0.0761,0
46, Motorcycle,288.65,43.660709,37.977426,23.735357,44.7924,0.01,0.023,0
47, Motorcycle,288.41,44.370645,37.977435,23.735369,38.6727,-0.0132,0.0602,0
48, Motorcycle,298.73,44.074534,37.977369,23.735443,40.358,-0.0264,-0.1127,0
49, Car,310.46,39.916754,37.977248,23.735465,35.1046,0.0038,-0.065,0
50, Motorcycle,321,44.445513,37.977166,23.735537,33.7431,-0.0266,-0.1009,0
51, Motorcycle,318.44,57.319887,37.977221,23.735582,45.7348,-0.1225,-0.1112,0
52, Motorcycle,326.54,57.064735,37.977121,23.735605,41.5803,-0.1409,-0.1991,0
53, Car,330.24,49.12593,37.977111,23.735593,29.6865,-0.0844,-0.0257,0
54, Car,334.51,44.601878,37.977097,23.735681,37.5785,-0.0356,-0.4383,0
55, Car,342.48,44.032981,37.97703,23.735692,27.1849,-0.0349,-0.1214,0
56, Motorcycle,349.8,42.832836,37.976964,23.735723,32.4224,-0.0448,-0.7292,0
57, Car,365.12,36.921772,37.976827,23.735746,23.31,-0.0159,-0.6389,0
58, Motorcycle,370.18,46.924168,37.97677,23.735735,23.78,-0.0108,-0.327,0
59, Car,247.13,26.959718,37.976763,23.735817,36.5105,-0.0004,-0.6115,0
60, Motorcycle,383.13,47.23524,37.976666,23.735768,34.4983,0.0659,-0.1652,0
61, Medium Vehicle,380.79,42.572913,37.976678,23.735741,25.2754,0.0341,-0.1455,0
62, Motorcycle,391.19,51.396775,37.976599,23.735763,36.2792,0.0375,-0.2311,0
63, Car,395.43,41.868875,37.976554,23.73573,29.8949,0.0598,-0.0005,0
64, Car,402.19,41.132667,37.976524,23.73581,30.3768,-0.0219,-0.0269,0
65, Car,414.13,43.088878,37.976382,23.735718,34.6821,0.0063,-0.1387,0
66, Car,416.26,42.093679,37.976397,23.735837,25.3529,-0.0745,0.0828,0
67, Motorcycle,424.11,45.987778,37.976308,23.735739,51.2898,0.0107,-0.0999,0
68, Motorcycle,434.94,57.14501,37.976207,23.735753,67.7058,-1.3525,0.7439,0
69, Car,434.63,42.518259,37.976211,23.735707,32.1156,-0.0474,-0.0475,0
70, Motorcycle,459.84,19.429965,37.976153,23.735736,38.4634,0.0396,0.0139,0
71, Car,102.05,28.700596,37.976101,23.735768,39.8983,0.0409,-0.1939,0
72, Motorcycle,318.22,33.302219,37.976079,23.735722,37.6377,0.0205,-0.0638,0
73, Car,445.22,19.080964,37.976277,23.735844,2.4265,0.0359,-0.0006,0
74, Bus,445.46,17.978233,37.976313,23.73587,12.9313,0.0981,0.0956,0
75, Motorcycle,18.68,4.050313,37.976043,23.734428,0,0,0,0
76, Motorcycle,23.29,4.818918,37.97607,23.734433,0,0,0,0
77, Motorcycle,24.11,5.293197,37.976082,23.734433,0,0,0,0
78, Motorcycle,25.59,5.98299,37.976098,23.734428,0,0,0,0
79, Car,24.16,4.577408,37.976043,23.73449,0,0,0,0
80, Car,24.34,4.563983,37.97601,23.734522,0,0,0,0
81, Car,41.99,6.404833,37.976016,23.734702,0,0,0,0
82, Car,48.75,6.698055,37.976012,23.734774,0,0,0,0
83, Car,57.32,7.214772,37.976006,23.734856,2.0043,0.0536,0,0
84, Medium Vehicle,62.87,7.072967,37.975997,23.734919,0.0022,0.0052,0,0
85, Car,452.75,18.313589,37.976234,23.73592,6.1966,0.0427,-0.0627,0
86, Motorcycle,153.63,18.313898,37.976115,23.735877,0,0,0,0
87, Motorcycle,156.7,16.991483,37.976143,23.735887,0,0,0,0
88, Car,159.31,16.292597,37.976164,23.735918,0,0,0,0
89, Motorcycle,153.79,16.777243,37.976153,23.735924,0,0,0,0
90, Taxi,458.63,18.847816,37.976233,23.736039,6.281,0.0776,-0.0056,0
91, Taxi,349.57,9.56274,37.977532,23.733607,18.0032,-0.2521,-2.0255,0
92, Taxi,105.96,9.441949,37.977972,23.734553,0,0,0,0
93, Taxi,58.92,30.303948,37.978222,23.734996,26.2694,-0.0502,0.0122,0
94, Taxi,138.67,7.34109,37.977173,23.733826,16.88,-0.0637,0.0165,0
95, Motorcycle,533.8,3.152392,37.976972,23.733919,0,0,0,0
96, Car,182.82,1.679774,37.978499,23.73455,0,0,0,0
97, Heavy Vehicle,262.17,5.644714,37.977908,23.734488,0,0,0,0
98, Heavy Vehicle,86.19,0.4347,37.977798,23.734254,3.2327,0.0233,-0.1146,0
99, Motorcycle,218.02,5.197901,37.978321,23.734789,0,0,0,0
